game_id,team_a,team_a_score,team_b,team_b_score
401845663,Canada,4,USA,3
401845664,Sweden,2,Finland,1
401845665,Czech Republic,3,Switzerland,2
401845666,Russia,5,Germany,1
401845667,Canada,3,Czech Republic,2
401845668,USA,4,Switzerland,2
401845669,Sweden,3,Russia,2
401845670,Finland,4,Germany,1
401845671,Canada,5,Switzerland,0
401845672,USA,2,Czech Republic,1
401845673,Sweden,3,Germany,1
401845674,Finland,4,Russia,2
401845675,Canada,2,Finland,1
401845676,USA,3,Sweden,2
401845677,Canada,4,Sweden,2
