game_id,team_a,team_a_score,team_b,team_b_score
401845663,Canada,3,USA,4
401845664,Sweden,3,Finland,2
401845665,Czech Republic,2,Switzerland,2
401845666,Russia,4,Germany,2
401845667,Canada,2,Czech Republic,3
401845668,USA,3,Switzerland,1
401845669,Sweden,2,Russia,3
401845670,Finland,3,Germany,2
401845671,Canada,4,Switzerland,1
401845672,USA,3,Czech Republic,2
401845673,Sweden,4,Germany,0
401845674,Finland,2,Russia,3
401845675,Canada,3,Finland,2
401845676,USA,4,Sweden,3
401845677,Canada,3,Sweden,3
