game_id,team_a,team_a_score,team_b,team_b_score
401845001,Canada,5,Germany,1
401845002,USA,2,Sweden,3
401845003,Sweden,4,Switzerland,4
401845004,Finland,3,Slovakia,2
401845005,Canada,2,USA,3
401845006,Czechia,1,Latvia,0
401845007,Russia,4,Norway,2
401845008,Germany,2,Switzerland,1
401845009,Sweden,1,Finland,2
401845010,USA,3,Latvia,0
401845011,Czechia,2,Norway,2
401845012,Canada,3,Sweden,2
401845013,USA,2,Finland,4
401845014,Germany,1,Czechia,3
401845015,Switzerland,2,Latvia,0
401845016,Norway,1,Slovakia,2
401845017,Sweden,3,USA,1
401845018,Finland,0,Canada,2
401845019,Germany,1,Czechia,2
401845020,Slovakia,2,Switzerland,3
